bopt,bname,Bautor,Bmemo,,,,,,,
219,БУХГАЛТЕРСКОЕ ДЕЛО. Учебник для вузов,Бардина И.В.,"Учебник «Бухгалтерское дело» подготовлен в соответствии с Федеральным государственным образовательным стандартом высшего профессионального образования третьего поколения по специальности 080109 «Бухгалтерский учет, анализ и аудит». Для студентов высших учебных заведений, обучающихся по экономическим специальностям.",,,,,,,
181.5,БУХУЧЕТ В РОЗНИЧНОЙ ТОРГОВЛЕ. ОБРАЗЦЫ ЗАПОЛНЕНИЯ ДОКУМЕНТОВ. ПРАКТИЧЕСКОЕ ПОСОБИЕ. ПЕРЕИЗД.2,М.Н.Агафонова,"В изложены основные правила документооборота и бухгалтерского учета в торговле, приведено много примеров с бухгалтерскими проводками, а также заполненных унифицированных форм по оформлению торговых касссовых операций. Книга предназначена для работников розничной торговли - руководителей, материально ответственных лиц, бухгалтеров, финансовых работников, юристов.",,,,,,,
325,"БЫВАЕТ РАССКАЗЫ, ПЬЕСЫ",Мамлеев Ю.,Для широкого круга читателей,,,,,,,
310.6,БЫЛ БЫ Я ВЗРОСЛЫМ,Ева Яниковски,978-5-904561-90-1,,,,,,,
352.9,БЫСТРО В КРОВАТЬ!,Мануэла Ольтен,978-5-904561-15-4,,,,,,,
564.7,БЫТИЕ .ВЕТХИЙ ЗАВЕТ .ИЛЛЮСТРАЦИИ РОБЕРТА КРАМБА,Иллюстрации Роберта Крамба,,,,,,,,
290,"БЫТИЕ, Т.1",Джон Каррид,978--985-454-286-,,,,,,,
36.2,БЫТОВАЯ РАДИОПРИЕМНАЯ И ЗВУКОВОСПРОИЗВОДЯЩАЯ АППАРАТУРА. (МОДЕЛИ 1989-1992 Г.Г.). (МРБ1201),Алексеев Ю.П.,,,,,,,,
429,БЮДЖЕТ И БЮДЖЕТНАЯ СИСТЕМА 2-е изд. Учебник для вузов,"Афанасьев М.П., Беленчук А.А., Кривогов И.В.","В учебнике в полном соответствии с Федеральным государственным образовательным стандартом высшего профессионального образования третьего поколения по специальности 080105 «Финансы и кредит» раскрываются все обязательные термины и понятия по дисциплине «Бюджетная система». В основу положены фундаментальные категории бюджета — доходы, расходы, сбалансированность. Для студентов, аспирантов, слушателей и преподавателей экономических университетов и системы повышения квалификации специалистов бюджетной сферы.",,,,,,,
469,"БЮДЖЕТ И БЮДЖЕТНАЯ СИСТЕМА 3-е изд., пер. и доп. Учебник для бакалавров","Афанасьев М.П., Беленчук А.А., Кривогов И.В.","В основу положены фундаментальные категории бюджета — доходы, расходы, сбалансированность. Важное место отведено значению бюджета как макроэкономическому регулятору, а также ключевым вопросам бюджетной реформы, включая бюджетирование, ориентированное на результат, и аудит эффективности. Для студентов, аспирантов, слушателей и преподавателей экономических университетов и системы повышения квалификации специалистов бюджетной сферы.",,,,,,,
99,БЮДЖЕТНАЯ СИСТЕМА РОССИЙСКОЙ ФЕДЕРАЦИИ. Конспект лекций,Николаева Т.П.,"В конспекте лекций освещаются теоретические и практические основы организации бюджетных отношений, включая составление, рассмотрение, утверждение и исполнение бюджетов разных уровней, принципы функционирования бюджетной системы РФ, порядок формирования доходов и расходов бюджетов, механизм управления государственным долгом, а также особенности функционирования внебюджетных фондов. Соответствует Федеральному государственному стандарту ВПО третьего поколения. Для студентов экономических и финансовых специальностей.",,,,,,,
89,БЮДЖЕТНАЯ СИСТЕМА РФ 3-е изд. Конспект лекций,Ермасова Н. Б.,"Непосредственной сдаче экзамена или зачета по любой учебной дисциплине всегда предшествует краткий период, когда студент должен сосредоточиться, систематизировать свои знания. Предлагаемое пособие поможет студентам в решении именно этой задачи применительно к курсу «Бюджетная система Российской Федерации». Содержание и структура пособия соответствуют требованиям Государственного образовательного стандарта высшего профессионального образования. Предназначено для студентов высших учебных заведений.",,,,,,,
299,БЮДЖЕТНОЕ ПРАВО 2-е изд. Учебник для магистров,Крохина Ю.А.,"В учебнике раскрываются основные темы курса Бюджетное право: изложены вопросы теории бюджетного права, механизма бюджетно-правового регулирования, источников бюджетного права, доходов и расходов бюджетной системы, правового статуса централизованных бюджетных и внебюджетных фондов, государственного и муниципального долга, бюджетного процесса, финансово-бюджетного контроля, ответственности за нарушения бюджетного законодательства.",,,,,,,
319,"БЮДЖЕТНОЕ ПРАВО РОССИИ 3-е изд., пер. и доп. Учебник для магистров",Крохина Ю.А.,"В учебнике раскрываются основные темы курса Бюджетное право: изложены вопросы теории бюджетного права, механизма бюджетно-правового регулирования, источников бюджетного права, доходов и расходов бюджетной системы, правового статуса централизованных бюджетных и внебюджетных фондов, государственного и муниципального долга, бюджетного процесса, финансово-бюджетного контроля, ответственности за нарушения бюджетного законодательства.",,,,,,,
447.06,В АЭРОПОРТУ,-,978-5-905466-01-4,,,,,,,
360,В ВАШЕМ ДОМЕ МАЛЫШ: ОТ 0 ДО 3,П. Рейсснер,,,,,,,,
386.5,В ГЕНЕРАЛЬНОМ ШТАБЕ НА РАЗЛОМЕ ЭПОХ 1990-2008,Макаров В.И.,,,,,,,,
200,В ГОСТЯХ У НЕБА. СТИХИ,Михаил Яснов,978-5-901975-64-0,,,,,,,
447.06,В ДЕРЕВНЕ,-,978-5-905466-09-0,,,,,,,
189.8,В МИРЕ ЖИВОТНЫХ. МЛЕКОПИТАЮЩИЕ,Сост. Т.А.Станкевич,978-966-312-781-1,,,,,,,
211,В МОРЕ МЫЛСЯ ВЕЛИКАН,Елена Аксельрод,,,,,,,,
117.2,В МОРЯХ И ОКЕАНАХ,Афонькин С.Ю.,,,,,,,,
166.2,В НАЧАЛЕ СОТВОРИЛ БОГ О ТВОРЕНИИ И ГРЕХОПАДЕНИИ.,Йозеф (Бенедикт ХVI) Ратцингер,Для широкого круга читателей,,,,,,,
275.4,В ОДЕЖДЕ ЧЕЛОВЕКА,Л. Крун,"«В одежде человека» — история о пеликане, который мечтал стать человеком. Мальчик Эмиль открывает ему странный мир человеческих существ, живущих в большом городе. В этот сборник также вошла повесть «Сфинкс или робот» — книга, главы которой могут быть прочитаны в любом порядке. И все же это вполне связная история девочки Лидии, живущей в мире, где законы физики растягиваются и выворачиваются наизнанку, создавая параллельную реальность. Там происходят странные вещи, но Лидия относится к ним с детской непосредственностью и открытостью — и читатель вместе с ней открывает мир и ищет ответы на вопросы.",,,,,,,
